tube.x,tube.y,sn.x,sn.y,cm.x,cm.y,t
49,67.2,34.4,45.8,27.8,47.8,0:00:00:000
49,67.2,34.4,45.8,27.8,47.8,0:00:00:004
49,67.2,34.4,45.8,27.8,47.8,0:00:00:008
49,67.2,34.4,45.8,27.8,47.8,0:00:00:012
49,67.2,34.4,45.8,27.8,47.8,0:00:00:016
49,67.2,34.4,45.8,27.8,47.8,0:00:00:020
49,67.2,34.4,45.8,27.8,47.8,0:00:00:024
49,67.2,34.4,45.8,27.8,47.8,0:00:00:029
49,67.2,34.4,45.8,27.8,47.8,0:00:00:033
49,67.2,34.4,45.8,27.8,47.8,0:00:00:037
49,67.2,34.4,45.8,27.8,47.8,0:00:00:041
49,67.2,34.4,45.8,27.8,47.8,0:00:00:045
49,67.2,34.4,45.8,27.8,47.8,0:00:00:049
49,67.2,34.4,45.8,27.8,47.8,0:00:00:054
49,67.2,34.4,45.8,27.8,47.8,0:00:00:058
49,67.2,34.4,45.8,27.8,47.8,0:00:00:062
49,67.2,34.4,45.8,27.8,47.8,0:00:00:066
49,67.2,34.4,45.8,27.8,47.8,0:00:00:070
49,67.2,34.4,45.8,27.8,47.8,0:00:00:075
49,67.2,34.4,45.8,27.8,47.8,0:00:00:079
49,67.2,34.4,45.8,27.8,47.8,0:00:00:083
49,67.2,34.4,45.8,27.8,47.8,0:00:00:087
49,67.2,34.4,45.8,27.8,47.8,0:00:00:091
49,67.2,34.4,45.8,27.8,47.8,0:00:00:095
49,67.2,34.4,45.8,27.8,47.8,0:00:00:099
49,67.2,34.4,45.8,27.8,47.8,0:00:00:104
49,67.2,34.4,45.8,27.8,47.8,0:00:00:108
49,67.2,34.4,45.8,27.8,47.8,0:00:00:112
49,67.2,34.4,45.8,27.8,47.8,0:00:00:116
49,67.2,34.4,45.8,27.8,47.8,0:00:00:120
49,67.2,34.4,45.8,27.8,47.8,0:00:00:124
49,67.2,34.4,45.8,27.8,47.8,0:00:00:129
49,67.2,34.4,45.8,27.8,47.8,0:00:00:133
49,67.2,34.4,45.8,27.8,47.8,0:00:00:137
49,67.2,34.4,45.8,27.8,47.8,0:00:00:141
49,67.2,34.4,45.8,27.8,47.8,0:00:00:145
49,67.2,34.4,45.8,27.8,47.8,0:00:00:150
49,67.2,34.4,45.8,27.8,47.8,0:00:00:154
49,67.2,34.4,45.8,27.8,47.8,0:00:00:158
49,67.2,34.4,45.8,27.8,47.8,0:00:00:162
49,67.2,34.4,45.8,27.8,47.8,0:00:00:166
49,67.2,34.4,45.8,27.8,47.8,0:00:00:170
49,67.2,34.4,45.8,27.8,47.8,0:00:00:175
49,67.2,34.4,45.8,27.8,47.8,0:00:00:179
49,67.2,34.4,45.8,27.8,47.8,0:00:00:183
49,67.2,34.4,45.8,27.8,47.8,0:00:00:187
49,67.2,34.4,45.8,27.8,47.8,0:00:00:191
49,67.2,34.4,45.8,27.8,47.8,0:00:00:195
49,67.2,34.4,45.8,27.8,47.8,0:00:00:199
49,67.2,34.4,45.8,27.8,47.8,0:00:00:204
49,67.2,34.4,45.8,27.8,47.8,0:00:00:208
49,67.2,34.4,45.8,27.8,47.8,0:00:00:212
49,67.2,34.4,45.8,27.8,47.8,0:00:00:216
49,67.2,34.4,45.8,27.8,47.8,0:00:00:220
49,67.2,34.4,45.8,27.8,47.8,0:00:00:225
49,67.2,34.4,45.8,27.8,47.8,0:00:00:229
49,67.2,34.4,45.8,27.8,47.8,0:00:00:233
49,67.2,34.4,45.8,27.8,47.8,0:00:00:237
49,67.2,34.4,45.8,27.8,47.8,0:00:00:241
49,67.2,34.4,45.8,27.8,47.8,0:00:00:245
49,67.2,34.4,45.8,27.8,47.8,0:00:00:249
49,67.2,34.4,45.8,27.8,47.8,0:00:00:254
49,67.2,34.4,45.8,27.8,47.8,0:00:00:258
49,67.2,34.4,45.8,27.8,47.8,0:00:00:262
49,67.2,34.4,45.8,27.8,47.8,0:00:00:266
49,67.2,34.4,45.8,27.8,47.8,0:00:00:270
49,67.2,34.4,45.8,27.8,47.8,0:00:00:274
49,67.2,34.4,45.8,27.8,47.8,0:00:00:279
49,67.2,34.4,45.8,27.8,47.8,0:00:00:283
49,67.2,34.4,45.8,27.8,47.8,0:00:00:287
49,67.2,34.4,45.8,27.8,47.8,0:00:00:291
49,67.2,34.4,45.8,27.8,47.8,0:00:00:295
49,67.2,34.4,45.8,27.8,47.8,0:00:00:300
49,67.2,34.4,45.8,27.8,47.8,0:00:00:304
